﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:1JhaLgkRU4M7GXfjMmsDAl","Cavatina","Tranquil Cove","Ambient Hits","1","4","204254","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5U463rClubkFesH8GRxJNa","Two Hearts","Sub-City Keys","Demi Sec","1","2","196000","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6ueAOxTi3uTlpmnq1lyAFE","Dream 11 (whisper music) - Pt. 1","Max Richter","Sleep","1","47","188936","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1D0DFmg1hvqz392xA0Bpw0","Water Clouds","Ambientalism, Stefan Mothander","Water Clouds","1","1","175603","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3AKj2SIi4Z765IPjXgPnvL","Wake up Rested","Biqram","Slip into Darkness","1","2","185490","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1Ujn2n8YOeyXbUM4fAlN0A","Depths of Eternity","William Roud","Depths of Eternity","1","1","178370","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4M3PRvEd5Fe7mnAdL4l6FN","Reaching for Casterly","Ambient Solle","Morning in Waiting","1","2","177092","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1pfOyfuKafxJXajfsnU731","The Ones Left Behind","Martin Rapide","The Ones Left Behind","1","1","148987","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:02edB4CCNTCA8qbKEjmAIE","Far Away Sounds up Close","Sleepaholics","Bits and Pieces","1","3","263998","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4ZyDRqls8dAig1XSfECoDS","Lost and Found","EIXE","Lost and Found","1","1","115109","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7MUBSWGaffRJ3ey7CjGCaZ","Inside River, Pt. 2","Akira Kosemura","DNA","1","3","159394","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:5OpOdnNT8P4aMvYFsmidPN","Dharana Focus","Yolta","Dharana Focus","1","1","171876","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:1qgpt8lrYErtEnEtsMDINX","From Afar","High Blue Sky","From Afar","1","1","166470","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:3kP2VckHqEVcpxgV5wlmtK","Translucent","Oscar Collin","If You Will","1","2","127169","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2e6uDYgJsa7rgIYzbNVoCi","Carry On","Novo Talos","Carry On","1","1","115484","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4vHAAUoPpwyyzxCJoRKOQE","Yoga Nidra","Meditation Spa","Piano Relaxation Music For Stress Relief And Healing","1","7","142706","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:7nd51y4iaZaNLZcbAyQZWK","Healing Memories","Kumbhaka","Healing Memories","1","2","202305","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:2h5ayIWSNyTFshP8JR8kZX","Bionic","Solvekin","Bionic","1","1","211303","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:6jJkW2RUsOHCe4hiIk1tED","Quiet Dreams","MVS","Quiet Dreams","1","1","204909","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:58M75fyfarDqc33r3CgWcv","From Dusk til Dark","Strange Imagining","From Dusk til Dark","1","1","187802","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:402eCegPnC05HLdbx6Ds3r","Finally You Needed Me","Ageena","Finally You Needed Me","1","1","226693","spotify:user:","2019-01-10T22:30:48Z"
"spotify:track:4qbZuBtFrD55ATmDPRrNOQ","Slip into Darkness","Biqram","Slip into Darkness","1","1","122176","spotify:user:","2019-01-10T22:30:48Z"
